,location,total_sqft,bath,price,bhk,encoded_location
4564,HBR Layout,1656.0,3.0,90.0,3,87
4565,others,1900.0,3.0,155.0,3,230
4566,Ramagondanahalli,1910.0,3.0,142.0,3,187
4567,Mysore Road,1003.0,2.0,43.0,2,166
4568,others,1576.0,2.0,48.0,2,230
4569,Whitefield,1495.0,2.0,67.0,3,224
4570,Thanisandra,2172.0,3.0,76.02,3,209
4571,others,1200.0,1.0,95.0,2,230
4572,Whitefield,1548.0,3.0,65.0,3,224
4573,Whitefield,2856.0,5.0,154.5,4,224
4574,Hosur Road,1689.0,3.0,103.0,3,104
4575,Electronic City Phase II,1031.0,2.0,53.0,2,75
4576,others,1060.0,2.0,37.0,2,230
4577,others,1100.0,2.0,61.0,2,230
4578,Hennur Road,1250.0,2.0,77.88,3,96
4579,Seegehalli,1420.0,2.0,46.0,3,198
4580,others,1942.0,3.0,155.0,3,230
4581,Haralur Road,1985.0,3.0,130.0,3,90
4582,Sarjapur  Road,950.0,1.0,39.9,1,194
4583,others,1200.0,4.0,80.0,3,230
4584,Green Glen Layout,1752.0,3.0,105.0,3,83
4585,Old Madras Road,1480.0,2.0,84.0,3,177
4586,Sarjapur  Road,1826.0,3.0,130.0,3,194
4587,8th Phase JP Nagar,1035.0,2.0,39.33,2,8
4588,Sarjapur  Road,2600.0,4.0,98.0,4,194
4589,Kasavanhalli,1667.0,3.0,92.0,3,130
4590,Thanisandra,934.0,2.0,55.0,2,209
4591,JP Nagar,1576.0,3.0,69.34,3,109
4592,Mahadevpura,1620.0,2.0,76.0,3,156
4593,Electronic City,1070.0,2.0,47.0,2,74
4594,Hosur Road,3600.0,5.0,180.0,5,104
4595,Uttarahalli,1280.0,2.0,60.0,3,216
4596,others,1400.0,2.0,60.0,2,230
4597,others,1330.0,2.0,64.0,2,230
4598,Electronic City Phase II,1611.0,2.0,48.33,3,75
4599,Whitefield,1405.0,3.0,58.0,3,224
4600,others,1515.0,3.0,90.0,3,230
4601,Thigalarapalya,1830.0,4.0,150.0,3,210
4602,Kaggadasapura,1710.0,3.0,60.0,3,118
4603,BTM Layout,935.0,2.0,51.5,2,24
4604,Jakkur,2197.0,3.0,136.0,3,110
4605,Yeshwanthpur,1678.0,3.0,92.13,3,229
4606,Brookefield,1410.0,2.0,80.0,3,52
4607,Jakkur,1125.0,2.0,65.0,2,110
4608,Magadi Road,1191.0,2.0,55.38,3,155
4609,Thubarahalli,1200.0,2.0,79.0,2,211
4610,CV Raman Nagar,1525.0,2.0,67.0,3,54
4611,Seegehalli,920.0,2.0,27.0,2,198
4612,Chikkabanavar,600.0,1.0,25.0,2,59
4613,Thanisandra,1185.0,2.0,44.0,2,209
4614,Electronics City Phase 1,1190.0,2.0,68.0,2,76
4615,Whitefield,2856.0,5.0,158.5,4,224
4616,Whitefield,1355.0,2.0,73.0,2,224
4617,KR Puram,1200.0,1.0,65.0,2,115
4618,Kundalahalli,7000.0,4.0,550.0,4,150
4619,Yelahanka New Town,500.0,2.0,24.0,1,227
4620,Bommasandra Industrial Area,1250.0,3.0,50.0,3,50
4621,Uttarahalli,1480.0,2.0,58.0,3,216
4622,KR Puram,1583.0,2.0,70.445,3,115
4623,others,1206.0,2.0,53.0,2,230
4624,Hosakerehalli,925.0,2.0,46.5,2,102
4625,8th Phase JP Nagar,909.0,2.0,40.9,2,8
4626,Brookefield,1100.0,2.0,55.0,2,52
4627,Raja Rajeshwari Nagar,1306.0,2.0,44.17,2,184
4628,others,1200.0,4.0,95.0,4,230
4629,Kalena Agrahara,610.0,1.0,39.0,1,121
4630,Yelahanka,1484.0,2.0,56.4,3,226
4631,Ramamurthy Nagar,1125.0,2.0,47.0,2,188
4632,Whitefield,2882.0,5.0,158.0,4,224
4633,Kundalahalli,2075.0,3.0,115.0,3,150
4634,others,1250.0,2.0,58.0,2,230
4635,Horamavu Banaswadi,1272.0,2.0,51.5,2,99
4636,others,625.0,2.0,24.0,2,230
4637,1st Phase JP Nagar,840.0,2.0,50.0,1,2
4638,Hennur Road,2502.0,4.0,180.0,4,96
4639,Rayasandra,583.0,1.0,26.9,1,189
4640,others,900.0,2.0,27.0,2,230
4641,Kanakapura,2200.0,3.0,121.0,3,126
4642,Whitefield,750.0,1.0,51.0,1,224
4643,Marathahalli,1600.0,3.0,58.0,3,161
4644,Chikkalasandra,1365.0,2.0,49.0,3,60
4645,others,1300.0,3.0,64.0,3,230
4646,others,1200.0,1.0,69.0,1,230
4647,Vishwapriya Layout,1250.0,3.0,38.0,3,222
4648,Kaggadasapura,1500.0,3.0,75.0,3,118
4649,Banashankari Stage V,1510.0,3.0,47.57,3,30
4650,7th Phase JP Nagar,1187.0,2.0,59.0,2,7
4651,Kundalahalli,1120.0,2.0,53.76,2,150
4652,Whitefield,1115.0,2.0,34.555,2,224
4653,others,1717.0,3.0,99.0,3,230
4654,others,2099.0,3.0,95.0,3,230
4655,Kasturi Nagar,1100.0,2.0,58.0,2,131
4656,others,1200.0,1.0,48.0,1,230
4657,Bannerghatta Road,1465.0,2.0,45.87,3,35
4658,Kothanur,1500.0,1.0,75.0,1,146
4659,Haralur Road,1255.0,2.0,90.0,3,90
4660,5th Phase JP Nagar,1220.0,2.0,88.0,2,5
4661,Sultan Palaya,1765.0,3.0,80.0,3,206
4662,Bellandur,1281.0,2.0,87.0,2,41
4663,Kaggadasapura,1215.0,2.0,43.0,2,118
4664,Ananth Nagar,1200.0,3.0,87.0,4,17
4665,Mysore Road,1237.0,2.0,73.0,2,166
4666,Lakshminarayana Pura,1300.0,2.0,70.0,2,153
4667,Whitefield,1105.0,2.0,39.99,2,224
4668,Hebbal Kempapura,3900.0,5.0,310.0,4,93
4669,Banashankari,1186.0,2.0,65.0,2,27
4670,Kengeri,750.0,2.0,35.5,2,135
4671,others,1430.0,2.0,78.65,3,230
4672,Thanisandra,1056.0,2.0,68.0,2,209
4673,others,2108.0,3.0,85.0,3,230
4674,Banashankari,1650.0,3.0,101.0,3,27
4675,Electronic City Phase II,1220.0,3.0,36.6,3,75
4676,Rayasandra,1198.0,2.0,54.0,2,189
4677,others,1190.0,2.0,70.0,2,230
4678,others,900.0,2.0,41.0,2,230
4679,others,2690.0,4.0,185.0,4,230
4680,Kanakapura,1340.0,2.0,65.0,2,126
4681,Yelahanka,1260.0,2.0,59.2,2,226
4682,Talaghattapura,2254.0,3.0,153.0,3,208
4683,JP Nagar,820.0,2.0,45.0,2,109
4684,Electronic City,1296.0,2.0,65.0,2,74
4685,Uttarahalli,1190.0,2.0,53.55,2,216
4686,Whitefield,1173.0,2.0,77.0,2,224
4687,Sarjapura - Attibele Road,1800.0,3.0,90.0,3,195
4688,Yelahanka,1102.0,2.0,52.0,2,226
4689,Sarjapur,913.0,2.0,36.0,2,193
4690,Hormavu,1176.0,2.0,35.27,3,100
4691,Prithvi Layout,1620.0,3.0,65.0,3,181
4692,Billekahalli,2968.0,3.0,225.0,3,45
4693,Yelahanka,1519.0,2.0,65.0,2,226
4694,others,1594.0,3.0,99.0,3,230
4695,others,1250.0,2.0,68.0,2,230
4696,Haralur Road,1056.0,2.0,60.0,2,90
4697,Whitefield,1200.0,3.0,68.4,3,224
4698,others,1290.0,1.0,77.5,2,230
4699,others,1150.0,2.0,48.0,2,230
4700,Anekal,1200.0,2.0,36.0,4,18
4701,Gollarapalya Hosahalli,861.0,2.0,36.5,2,81
4702,Kundalahalli,1047.0,2.0,82.62,2,150
4703,others,1200.0,2.0,75.0,2,230
4704,others,1065.0,2.0,45.0,2,230
4705,Ramamurthy Nagar,1000.0,2.0,62.0,2,188
4706,Lingadheeranahalli,1682.0,3.0,113.0,3,154
4707,Harlur,1756.0,3.0,131.0,3,91
4708,Vittasandra,1238.0,2.0,67.32,2,223
4709,Dasanapura,814.0,2.0,42.0,2,64
4710,Dodda Nekkundi,1145.0,2.0,46.5,2,67
4711,Varthur,965.0,2.0,34.0,2,217
4712,others,750.0,2.0,36.0,2,230
4713,Banashankari,1300.0,2.0,55.0,3,27
4714,1st Phase JP Nagar,1590.0,3.0,131.0,3,2
4715,Begur Road,644.0,1.0,40.0,1,40
4716,Whitefield,982.0,2.0,37.0,2,224
4717,Indira Nagar,1260.0,2.0,100.0,2,108
4718,Rayasandra,1555.0,3.0,75.17,3,189
4719,Kaggadasapura,1225.0,2.0,48.0,2,118
4720,Electronics City Phase 1,1085.0,2.0,46.0,2,76
4721,Thanisandra,1595.0,3.0,110.0,3,209
4722,Raja Rajeshwari Nagar,1196.0,2.0,40.44,2,184
4723,Yelahanka,1859.0,3.0,108.0,3,226
4724,9th Phase JP Nagar,1079.0,2.0,60.0,2,9
4725,Whitefield,1118.0,2.0,42.0,2,224
4726,CV Raman Nagar,1198.0,2.0,60.0,2,54
4727,Thigalarapalya,1830.0,4.0,135.0,3,210
4728,Banashankari Stage VI,1160.0,2.0,59.0,2,31
4729,others,2070.0,3.0,135.0,3,230
4730,Kannamangala,957.0,2.0,52.5,2,128
4731,Bannerghatta Road,1268.0,2.0,69.0,2,35
4732,Bannerghatta Road,1450.0,2.0,87.0,3,35
4733,others,1600.0,2.0,75.0,3,230
4734,Uttarahalli,1330.0,2.0,57.0,3,216
4735,Jakkur,1355.0,2.0,65.0,3,110
4736,others,1100.0,2.0,38.49,2,230
4737,Chikkalasandra,1075.0,2.0,46.76,2,60
4738,others,800.0,2.0,55.0,2,230
4739,others,900.0,1.0,44.0,2,230
4740,Haralur Road,1140.0,2.0,42.0,2,90
4741,Padmanabhanagar,1710.0,2.0,90.63,3,178
4742,Talaghattapura,2106.0,3.0,148.0,3,208
4743,others,3800.0,2.0,130.0,3,230
4744,Marathahalli,1602.0,2.0,104.0,2,161
4745,Sarjapur  Road,1660.0,2.0,116.0,3,194
4746,Electronic City Phase II,1549.0,3.0,80.0,3,75
4747,Marathahalli,700.0,1.0,38.0,1,161
4748,Balagere,1012.0,2.0,64.0,2,26
4749,Whitefield,1216.0,2.0,69.0,2,224
4750,Electronic City Phase II,1065.0,2.0,56.13,2,75
4751,Thanisandra,1411.0,3.0,93.15,3,209
4752,Pai Layout,1400.0,2.0,57.5,2,179
4753,Haralur Road,1245.0,2.0,62.0,2,90
4754,Vidyaranyapura,1000.0,2.0,35.0,2,219
4755,Panathur,1580.0,3.0,71.89,3,180
4756,Subramanyapura,1800.0,3.0,90.0,3,205
4757,Kothannur,1275.0,3.0,44.0,3,145
4758,Kasavanhalli,1494.0,3.0,82.0,3,130
4759,Bhoganhalli,1949.0,3.0,129.0,3,44
4760,BTM Layout,1020.0,2.0,46.5,2,24
4761,Mysore Road,883.0,2.0,45.0,2,166
4762,others,2010.0,3.0,125.0,3,230
4763,Yeshwanthpur,1240.0,2.0,80.0,2,229
4764,6th Phase JP Nagar,1213.0,2.0,63.0,2,6
4765,Hegde Nagar,1835.0,3.0,88.0,3,94
4766,Bannerghatta Road,2932.0,5.0,195.0,4,35
4767,Whitefield,3425.0,5.0,250.0,4,224
4768,Gottigere,945.0,2.0,45.0,2,82
4769,others,1504.0,2.0,100.0,3,230
4770,Harlur,1755.0,3.0,130.0,3,91
4771,Vijayanagar,1760.0,3.0,140.0,3,220
4772,Hoodi,1240.0,2.0,43.94,2,97
4773,Electronics City Phase 1,1450.0,3.0,72.54,3,76
4774,5th Phase JP Nagar,1000.0,2.0,48.0,2,5
4775,Shivaji Nagar,3820.0,1.0,306.0,1,200
4776,Thyagaraja Nagar,2000.0,4.0,145.0,5,212
4777,Choodasandra,1215.0,2.0,59.0,2,61
4778,Yelachenahalli,1330.0,3.0,73.5,3,225
4779,Raja Rajeshwari Nagar,1178.0,2.0,75.0,2,184
4780,Bellandur,2000.0,3.0,85.0,3,41
4781,Dasarahalli,2400.0,2.0,152.0,3,65
4782,Sarjapur  Road,1700.0,3.0,108.0,3,194
4783,Jigani,1200.0,3.0,65.0,3,113
4784,others,1500.0,3.0,72.0,3,230
4785,Kanakpura Road,1737.0,3.0,85.0,3,127
4786,others,1280.0,2.0,48.0,3,230
4787,CV Raman Nagar,1560.0,2.0,85.0,2,54
4788,Kambipura,883.0,2.0,44.0,2,123
4789,Kengeri Satellite Town,750.0,2.0,33.0,2,136
4790,Brookefield,2400.0,3.0,140.0,4,52
4791,others,900.0,2.0,45.0,2,230
4792,Hormavu,1030.0,2.0,49.35,2,100
4793,Hennur Road,1831.0,3.0,110.0,3,96
4794,others,1095.0,2.0,38.33,2,230
4795,Sarjapur  Road,1272.5,2.0,40.72,3,194
4796,7th Phase JP Nagar,1000.0,2.0,61.0,2,7
4797,Budigere,1820.0,3.0,85.4,3,53
4798,Bisuvanahalli,1075.0,2.0,41.0,3,47
4799,TC Palaya,1500.0,3.0,83.0,3,207
4800,Electronics City Phase 1,360.0,1.0,16.9,1,76
4801,Kadugodi,925.0,1.0,40.7,1,117
4802,Electronic City,1140.0,2.0,70.93,2,74
4803,others,1145.0,2.0,58.4,2,230
4804,others,1862.0,3.0,120.0,3,230
4805, Devarachikkanahalli,947.0,2.0,43.0,2,0
4806,Kalena Agrahara,1120.0,2.0,40.0,2,121
4807,others,2700.0,3.0,200.0,3,230
4808,Kaggadasapura,1805.0,2.0,75.0,3,118
4809,others,1677.0,3.0,98.0,3,230
4810,Uttarahalli,1560.0,3.0,74.0,3,216
4811,Arekere,2060.0,3.0,150.0,3,21
4812,Koramangala,1716.0,2.0,115.0,3,144
4813,Harlur,1864.0,3.0,140.0,3,91
4814,Electronics City Phase 1,638.0,1.0,32.0,1,76
4815,Chandapura,937.0,2.0,30.0,2,56
4816,others,1490.0,2.0,115.0,3,230
4817,Whitefield,1100.0,2.0,37.0,2,224
4818,Thigalarapalya,1000.0,2.0,48.53,2,210
4819,Horamavu Agara,1060.0,2.0,37.0,2,98
4820,Basaveshwara Nagar,1200.0,2.0,80.0,2,37
4821,Akshaya Nagar,1420.0,2.0,75.0,3,12
4822,Sarjapur  Road,1539.0,3.0,85.0,3,194
4823,others,1550.0,3.0,59.0,3,230
4824,Kasavanhalli,1555.0,3.0,82.0,3,130
4825,Seegehalli,1553.0,3.0,68.0,3,198
4826,others,1740.0,3.0,120.0,3,230
4827,OMBR Layout,1855.0,3.0,145.0,3,175
4828,others,1020.0,2.0,60.0,2,230
4829,Uttarahalli,1250.0,2.0,50.0,3,216
4830,Sanjay nagar,1450.0,3.0,75.0,3,191
4831,Thubarahalli,1200.0,2.0,80.0,2,211
4832,Haralur Road,1140.0,2.0,58.0,2,90
4833,others,550.0,1.0,16.0,1,230
4834,Bannerghatta Road,1450.0,3.0,44.0,3,35
4835,Kanakpura Road,700.0,2.0,35.07,2,127
4836,Whitefield,1200.0,3.0,56.0,3,224
4837,Yelahanka,1050.0,2.0,45.0,2,226
4838,Somasundara Palya,1600.0,3.0,69.0,3,202
4839,Bannerghatta Road,1625.0,2.0,75.0,3,35
4840,others,1492.0,2.0,65.0,2,230
4841,Whitefield,2856.0,5.0,157.5,4,224
4842,Sarjapur  Road,1489.0,2.0,82.0,3,194
4843,Kanakapura,1560.0,2.0,62.38,3,126
4844,others,1431.0,3.0,65.0,3,230
4845,Lingadheeranahalli,1682.0,3.0,114.0,3,154
4846,Panathur,1198.0,2.0,86.26,2,180
4847,Sarjapur  Road,1550.0,2.0,69.75,3,194
4848,Kodichikkanahalli,1026.0,2.0,45.0,2,138
4849,Hennur,1260.0,2.0,52.0,3,95
4850,others,690.0,2.0,42.0,2,230
4851,Sarakki Nagar,1200.0,4.0,85.0,4,192
4852,Attibele,2400.0,3.0,120.0,3,22
4853,Thubarahalli,1200.0,2.0,79.55,2,211
4854,Sarjapur  Road,1186.0,2.0,40.0,3,194
4855,Thanisandra,1039.0,2.0,39.5,2,209
4856,Gottigere,1500.0,4.0,100.0,5,82
4857,Malleshwaram,2520.0,3.0,150.0,3,160
4858,Brookefield,1225.0,2.0,66.5,2,52
4859,Bommanahalli,1350.0,2.0,72.0,2,48
4860,Whitefield,1550.0,2.0,49.6,3,224
4861,Hoodi,1490.0,3.0,79.0,3,97
4862,others,1520.0,3.0,111.0,3,230
4863,others,1391.0,2.0,64.5,3,230
4864,Rachenahalli,1200.0,2.0,50.0,2,183
4865,others,1200.0,4.0,86.0,4,230
4866,Yelahanka,1322.0,2.0,80.0,2,226
4867,Whitefield,2173.0,3.0,128.0,3,224
4868,Sarjapur  Road,1200.0,2.0,75.0,2,194
4869,Thubarahalli,1200.0,2.0,47.0,2,211
4870,Mysore Road,1170.0,2.0,65.0,2,166
4871,NRI Layout,1125.0,2.0,45.56,2,168
4872,Devanahalli,698.5,1.0,28.57,1,66
4873,others,1250.0,2.0,90.0,2,230
4874,Yelahanka,1075.0,2.0,36.0,3,226
4875,Whitefield,1435.0,3.0,45.0,3,224
4876,Electronics City Phase 1,1175.0,2.0,64.98,2,76
4877,others,900.0,2.0,33.0,2,230
4878,Electronics City Phase 1,585.0,1.0,21.0,1,76
4879,Jigani,3170.0,5.0,230.0,4,113
4880,Thanisandra,1220.0,2.0,42.0,2,209
4881,Bannerghatta Road,960.0,2.0,58.0,2,35
4882,NGR Layout,907.0,1.0,38.0,1,167
4883,Old Madras Road,1210.0,2.0,74.0,2,177
4884,others,1230.0,2.0,70.0,2,230
4885,5th Phase JP Nagar,1350.0,2.0,75.0,3,5
4886,Kenchenahalli,1150.0,2.0,58.0,2,134
4887,Sarjapur,1404.0,2.0,53.35,3,193
4888,OMBR Layout,1050.0,2.0,48.0,2,175
4889,Yelahanka,1285.0,2.0,56.0,2,226
4890,Hormavu,1018.0,2.0,50.8,2,100
4891,Hoskote,1200.0,3.0,57.0,3,103
4892,others,1600.0,3.0,95.0,3,230
4893,9th Phase JP Nagar,1480.0,2.0,80.0,2,9
4894,Kaval Byrasandra,480.0,1.0,25.0,1,133
4895,Akshaya Nagar,1435.0,3.0,53.0,3,12
4896,others,600.0,2.0,23.0,1,230
4897,CV Raman Nagar,1590.0,2.0,85.0,3,54
4898,Nagavara,936.0,2.0,40.2,2,171
4899,Banashankari,1181.0,2.0,75.0,2,27
4900,Kengeri,1741.0,3.0,80.0,3,135
4901,JP Nagar,1750.0,3.0,123.0,3,109
4902,Varthur Road,1050.0,2.0,42.7,2,218
4903,Tumkur Road,1027.0,2.0,60.0,2,214
4904,Sector 2 HSR Layout,1600.0,3.0,70.0,3,196
4905,Sahakara Nagar,1000.0,2.0,60.0,2,190
4906,Varthur,1120.0,2.0,44.24,2,217
4907,others,1200.0,2.0,85.0,2,230
4908,others,1200.0,2.0,35.0,2,230
4909,Kasturi Nagar,1570.0,3.0,110.0,3,131
4910,Electronic City Phase II,1140.0,2.0,33.84,2,75
4911,Banashankari,1105.0,2.0,90.0,2,27
4912,Whitefield,905.0,1.0,62.0,1,224
4913,Kudlu Gate,1185.0,2.0,50.0,2,148
4914,Rayasandra,1458.0,3.0,60.0,3,189
4915,Hormavu,1555.0,3.0,75.0,3,100
4916,others,1200.0,2.0,45.0,2,230
4917,Sarjapur  Road,1308.0,2.0,58.86,2,194
4918,Kudlu,1024.0,2.0,44.0,2,147
4919,Kanakapura,1450.0,3.0,75.0,3,126
4920,Seegehalli,1639.0,3.0,120.0,3,198
4921,Hennur Road,1232.0,2.0,87.0,2,96
4922,others,2000.0,4.0,130.0,3,230
4923,Jakkur,1230.0,2.0,79.0,2,110
4924,KR Puram,1076.0,2.0,67.0,2,115
4925,others,995.0,2.0,34.82,3,230
4926,Electronic City,1096.0,2.0,40.55,2,74
4927,Horamavu Agara,1107.83,2.0,41.51,2,98
4928,8th Phase JP Nagar,1431.5,3.0,72.02,3,8
4929,Whitefield,1320.0,2.0,99.26,2,224
4930,Whitefield,2901.0,4.0,190.0,3,224
4931,GM Palaya,1315.0,2.0,65.0,3,78
4932,others,1000.0,2.0,44.0,2,230
4933,Hosakerehalli,1596.0,3.0,79.8,3,102
4934,Bannerghatta Road,1750.0,3.0,130.0,3,35
4935,Old Madras Road,1350.0,3.0,47.25,3,177
4936,others,1175.0,2.0,79.0,2,230
4937,Talaghattapura,921.0,2.0,29.47,2,208
4938,Sultan Palaya,1713.0,3.0,125.0,3,206
4939,others,1200.0,2.0,43.0,2,230
4940,8th Phase JP Nagar,1900.0,4.0,90.0,3,8
4941,Kudlu Gate,1664.0,3.0,68.0,3,148
4942,Binny Pete,1795.0,3.0,139.0,3,46
4943,Kereguddadahalli,600.0,1.0,19.5,1,137
4944,Hoodi,1240.0,2.0,65.0,2,97
4945,Hegde Nagar,1965.0,4.0,132.0,3,94
4946,Electronics City Phase 1,1200.0,2.0,59.76,2,76
4947,others,1112.0,2.0,68.0,2,230
4948,Mahadevpura,1136.0,2.0,64.5,2,156
4949,Jigani,914.0,2.0,55.0,2,113
4950,Rachenahalli,1050.0,2.0,47.25,2,183
4951,Marathahalli,1385.0,2.0,68.5,3,161
4952,others,990.0,2.0,35.0,2,230
4953,Yelahanka,845.0,2.0,43.0,2,226
4954,Whitefield,1485.0,2.0,96.51,2,224
4955,Kanakapura,1460.0,2.0,43.79,3,126
4956,Thanisandra,1450.0,2.0,57.0,2,209
4957,HSR Layout,1360.0,2.0,53.0,3,89
4958,Singasandra,1375.0,2.0,58.0,2,201
4959,Uttarahalli,1125.0,2.0,48.0,2,216
4960,7th Phase JP Nagar,1460.0,2.0,100.0,3,7
4961,others,1107.0,2.0,40.0,2,230
4962,others,1158.0,2.0,75.0,2,230
4963,Yelachenahalli,800.0,1.0,30.0,2,225
4964,Bhoganhalli,1760.0,3.0,128.0,3,44
4965,others,3200.0,4.0,200.0,4,230
4966,TC Palaya,1350.0,3.0,60.0,3,207
4967,BTM Layout,1600.0,3.0,112.0,3,24
4968,others,1200.0,2.0,90.0,2,230
4969,Whitefield,1755.0,3.0,101.0,3,224
4970,Hulimavu,1200.0,2.0,50.0,2,105
4971,others,1200.0,2.0,67.0,2,230
4972,others,1266.67,2.0,69.0,2,230
4973,others,1300.0,3.0,64.0,3,230
4974,Mysore Road,1029.5,2.0,50.855,2,166
4975,Raja Rajeshwari Nagar,1128.0,2.0,40.0,2,184
4976,others,2000.0,2.0,160.0,2,230
4977,Panathur,1210.0,2.0,80.0,2,180
4978,Raja Rajeshwari Nagar,1151.0,2.0,39.0,2,184
4979,Sarjapur  Road,920.0,2.0,40.0,2,194
4980,Munnekollal,1750.0,3.0,86.5,3,164
4981,Dasanapura,1163.0,2.0,65.0,2,64
4982,others,1800.0,3.0,95.0,3,230
4983,CV Raman Nagar,1100.0,2.0,58.0,2,54
4984,R.T. Nagar,1200.0,2.0,60.0,2,182
4985,others,1410.0,3.0,65.0,3,230
4986,Begur Road,1933.0,3.0,98.0,3,40
4987,Begur Road,1200.0,2.0,45.6,2,40
4988,Whitefield,1608.0,2.0,63.0,3,224
4989,Horamavu Banaswadi,1156.0,2.0,46.9,2,99
4990,others,1230.0,2.0,75.0,2,230
4991,Kasavanhalli,770.0,1.0,43.82,1,130
4992,Ardendale,1777.26,3.0,105.0,3,20
4993,Kanakpura Road,1339.0,2.0,85.0,2,127
4994,Sarjapur  Road,3044.0,3.0,183.0,3,194
4995,others,1080.0,2.0,44.8,2,230
4996,others,2400.0,2.0,135.0,2,230
4997,Hulimavu,1450.0,3.0,72.0,3,105
4998,Kothanur,1075.0,2.0,53.0,2,146
4999,Sarjapur  Road,1163.0,2.0,62.0,3,194
5000,Hebbal,1299.0,2.0,100.0,2,92
5001,HRBR Layout,1170.0,2.0,75.0,2,88
5002,JP Nagar,2195.0,2.0,152.0,3,109
5003,Yelahanka,2600.0,4.0,175.0,4,226
5004,KR Puram,1140.0,2.0,43.32,2,115
5005,Kanakpura Road,1900.0,3.0,125.0,3,127
5006,Electronic City,1110.0,2.0,39.95,2,74
5007,HBR Layout,1089.0,2.0,60.0,2,87
5008,others,880.0,2.0,48.0,2,230
5009,Kereguddadahalli,1080.0,2.0,32.0,2,137
5010,Thanisandra,1093.0,2.0,68.1,2,209
5011,Banashankari Stage III,1480.0,3.0,75.48,3,29
5012,Hegde Nagar,1703.0,3.0,125.0,3,94
5013,Hebbal,1200.0,2.0,60.0,2,92
5014,Marathahalli,1690.0,3.0,116.0,3,161
5015,Yelahanka,1305.0,2.0,78.0,2,226
5016,Talaghattapura,1257.0,2.0,40.22,3,208
5017,others,1150.0,2.0,45.0,2,230
5018,others,1194.0,2.0,55.0,2,230
5019,others,2000.0,3.0,90.0,3,230
5020,Anekal,1500.0,4.0,99.0,3,18
5021,others,1025.0,2.0,42.5,2,230
5022,Horamavu Agara,980.0,2.0,38.19,2,98
5023,Whitefield,2225.0,3.0,149.0,3,224
5024,others,1022.0,2.0,57.0,2,230
5025,others,1153.0,2.0,45.0,2,230
5026,Pai Layout,1175.0,2.0,60.0,2,179
5027,Vidyaranyapura,1560.0,3.0,68.0,3,219
5028,Billekahalli,1350.0,3.0,55.0,2,45
5029,others,1200.0,2.0,76.0,2,230
5030,others,1200.0,1.0,54.0,2,230
5031,Chandapura,800.0,2.0,25.0,2,56
5032,Electronic City,2093.0,4.0,104.0,4,74
5033,Bannerghatta Road,1275.0,2.0,73.0,2,35
5034,Begur Road,1215.0,2.0,43.13,2,40
5035,Begur Road,1444.0,2.0,71.5,3,40
5036,others,950.0,2.0,38.0,2,230
5037,Banashankari Stage II,1240.0,2.0,59.52,3,28
5038,Hennur,1231.0,2.0,50.0,2,95
5039,Yeshwanthpur,1713.0,3.0,110.0,3,229
5040,Sarjapur  Road,3004.0,4.0,158.0,3,194
5041,Sonnenahalli,1310.0,2.0,46.0,3,204
5042,Jalahalli,790.0,2.0,49.5,2,111
5043,others,1605.0,3.0,100.0,3,230
5044,Whitefield,1250.0,2.0,82.0,2,224
5045,Subramanyapura,1260.0,2.0,76.0,3,205
5046,Yelahanka,1180.0,2.0,56.0,2,226
5047,Uttarahalli,1255.0,2.0,50.19,3,216
5048,Electronic City,1025.0,2.0,53.9,2,74
5049,Sarjapur  Road,1877.0,4.0,150.0,3,194
5050,Hennur,2500.0,5.0,125.0,5,95
5051,others,1542.0,3.0,98.0,3,230
5052,others,1012.0,2.0,42.0,2,230
5053,Chandapura,1200.0,2.0,65.0,2,56
5054,Sarjapur  Road,1115.0,2.0,43.0,2,194
5055,Green Glen Layout,1680.0,4.0,95.0,3,83
5056,Old Madras Road,1171.0,2.0,72.0,2,177
5057,Tumkur Road,1027.0,2.0,68.62,2,214
5058,Shampura,1700.0,3.0,75.0,3,199
5059,Kanakapura,1090.0,2.0,38.15,2,126
5060,Hennur Road,1232.0,2.0,74.0,2,96
5061,Anekal,766.0,2.0,28.0,2,18
5062,Kanakpura Road,525.0,1.0,27.0,1,127
5063,Hosa Road,1576.0,3.0,109.0,3,101
5064,Choodasandra,1254.0,2.0,65.0,3,61
5065,others,3600.0,5.0,110.0,5,230
5066,Kanakpura Road,1593.0,3.0,118.0,3,127
5067,others,1333.0,2.0,77.27,2,230
5068,Raja Rajeshwari Nagar,1375.0,2.0,54.99,3,184
5069,Ardendale,1650.0,3.0,82.0,3,20
5070,Thanisandra,1430.0,2.0,51.48,3,209
5071,Electronic City,940.0,2.0,54.0,2,74
5072,Electronic City,435.0,1.0,21.0,1,74
5073,Begur Road,1160.0,2.0,36.54,2,40
5074,Electronic City,1500.0,2.0,77.5,3,74
5075,Koramangala,1890.0,2.0,100.0,3,144
5076,others,1050.0,2.0,70.0,2,230
5077,Haralur Road,1027.0,2.0,43.0,2,90
5078,Whitefield,1495.0,2.0,61.28,3,224
5079,Seegehalli,3000.0,4.0,235.0,3,198
5080,Tumkur Road,1459.0,2.0,95.0,3,214
5081,Yelahanka,1711.0,3.0,85.61,3,226
5082,Hoodi,1250.0,2.0,98.0,2,97
5083,Anandapura,875.0,2.0,57.0,2,16
5084,Ramamurthy Nagar,1334.0,2.0,67.0,2,188
5085,Thigalarapalya,2072.0,4.0,160.0,3,210
